score,freq,percentile
1,4,0.0
2,5,2.0889724709985342e-06
3,11,4.700188059746701e-06
4,30,1.044486235499267e-05
5,55,2.6112155887481675e-05
6,122,5.483552736371152e-05
7,382,0.00011854918772916681
8,801,0.0003180460587095268
9,1810,0.0007363627960269832
10,5007,0.00168162283915382
11,17460,0.004296494129726235
12,50757,0.013414858965634836
13,92137,0.03992235289325299
14,113159,0.08804026703335097
15,119261,0.14713677599478175
16,120299,0.20942001246072078
17,121309,0.27224533728288397
18,120852,0.33559812765397423
19,117473,0.398712252920253
20,116395,0.46006171869165563
21,113819,0.5208482063821243
22,108449,0.5802893958012698
23,101663,0.6369261396780997
24,93904,0.6900189417578808
25,82654,0.7390596594870423
26,71589,0.7822251421415206
27,63340,0.8196120046980991
28,54849,0.8526908837763608
29,47187,0.8813353965418105
30,43824,0.9059784825390624
31,37150,0.9288652649313224
32,31625,0.9482665967557213
33,26930,0.9647825353545535
34,21836,0.9788465425155511
35,14928,0.9902502432347321
36,3741,0.9980462884964986
