score,readpercentile,mathpercentile,writpercentile
200,0.0,0.0,0.0
210,0.01,0.0,0.01
220,0.01,0.0,0.01
230,0.01,0.01,0.01
240,0.01,0.01,0.01
250,0.02,0.01,0.02
260,0.02,0.01,0.02
270,0.02,0.01,0.02
280,0.03,0.02,0.03
290,0.03,0.02,0.03
300,0.04,0.03,0.04
310,0.05,0.04,0.05
320,0.05,0.05,0.06
330,0.07,0.06,0.07
340,0.08,0.07,0.08
350,0.09,0.08,0.1
360,0.11,0.09,0.12
370,0.13,0.11,0.14
380,0.15,0.13,0.17
390,0.17,0.15,0.19
400,0.19,0.17,0.22
410,0.22,0.19,0.25
420,0.25,0.22,0.29
430,0.28,0.25,0.32
440,0.31,0.28,0.35
450,0.35,0.31,0.39
460,0.37,0.34,0.42
470,0.41,0.37,0.46
480,0.44,0.41,0.49
490,0.48,0.44,0.53
500,0.51,0.46,0.56
510,0.54,0.5,0.59
520,0.57,0.53,0.62
530,0.61,0.56,0.65
540,0.64,0.59,0.68
550,0.67,0.62,0.71
560,0.7,0.66,0.74
570,0.73,0.68,0.76
580,0.75,0.71,0.78
590,0.78,0.73,0.8
600,0.8,0.75,0.82
610,0.82,0.77,0.84
620,0.84,0.8,0.86
630,0.86,0.82,0.88
640,0.89,0.84,0.89
650,0.9,0.86,0.91
660,0.91,0.87,0.92
670,0.92,0.89,0.93
680,0.94,0.9,0.94
690,0.95,0.92,0.95
700,0.96,0.93,0.96
710,0.96,0.94,0.96
720,0.96,0.95,0.97
730,0.97,0.95,0.98
740,0.98,0.96,0.98
750,0.98,0.97,0.98
760,0.99,0.97,0.99
770,0.99,0.98,0.99
780,0.99,0.99,0.99
790,0.99,0.99,0.99
800,0.99,0.99,1.0
